last_name,first_name,birthday,gender,title,state,district,party,url,address,phone
Warner,Mark,1954-12-15,M,sen,VA,,Democrat,https://www.warner.senate.gov,703 Hart Senate Office Building Washington DC 20510,202-224-2023
Gillibrand,Kirsten,1966-12-09,F,sen,NY,,Democrat,https://www.gillibrand.senate.gov,478 Russell Senate Office Building Washington DC 20510,202-224-4451
Coons,Chris,1963-09-09,M,sen,DE,,Democrat,https://www.coons.senate.gov,127A Russell Senate Office Building Washington DC 20510,202-224-5042
Manchin,Joe,1947-08-24,M,sen,WV,,Democrat,https://www.manchin.senate.gov,306 Hart Senate Office Building Washington DC 20510,202-224-3954
Aderholt,Robert,1965-07-22,M,rep,AL,4,Republican,https://aderholt.house.gov,235 Cannon House Office Building; Washington DC 20515-0104,202-225-4876
Amash,Justin,1980-04-18,M,rep,MI,3,Republican,https://amash.house.gov,114 Cannon House Office Building; Washington DC 20515-2203,202-225-3831
Baldwin,Tammy,1962-02-11,F,sen,WI,,Democrat,https://www.baldwin.senate.gov,709 Hart Senate Office Building Washington DC 20510,202-224-5653
Barletta,Lou,1956-01-28,M,rep,PA,11,Republican,https://barletta.house.gov,2049 Rayburn House Office Building; Washington DC 20515-3811,202-225-6511
Barton,Joe,1949-09-15,M,rep,TX,6,Republican,https://joebarton.house.gov,2107 Rayburn House Office Building; Washington DC 20515-4306,202-225-2002
Bass,Karen,1953-10-03,F,rep,CA,37,Democrat,https://bass.house.gov,2241 Rayburn House Office Building; Washington DC 20515-0537,202-225-7084
Bennet,Michael,1964-11-28,M,sen,CO,,Democrat,https://www.bennet.senate.gov,261 Russell Senate Office Building Washington DC 20510,202-224-5852
Bilirakis,Gus,1963-02-08,M,rep,FL,12,Republican,https://bilirakis.house.gov,2112 Rayburn House Office Building; Washington DC 20515-0912,202-225-5755
Bishop,Rob,1951-07-13,M,rep,UT,1,Republican,https://robbishop.house.gov,123 Cannon House Office Building; Washington DC 20515-4401,202-225-0453
Bishop,Sanford,1947-02-04,M,rep,GA,2,Democrat,https://bishop.house.gov,2407 Rayburn House Office Building; Washington DC 20515-1002,202-225-3631
Black,Diane,1951-01-16,F,rep,TN,6,Republican,https://black.house.gov,1131 Longworth House Office Building; Washington DC 20515-4206,202-225-4231
Blackburn,Marsha,1952-06-06,F,rep,TN,7,Republican,https://blackburn.house.gov,2266 Rayburn House Office Building; Washington DC 20515-4207,202-225-2811
Blumenauer,Earl,1948-08-16,M,rep,OR,3,Democrat,https://blumenauer.house.gov,1111 Longworth House Office Building; Washington DC 20515-3703,202-225-4811
Blumenthal,Richard,1946-02-13,M,sen,CT,,Democrat,https://www.blumenthal.senate.gov,706 Hart Senate Office Building Washington DC 20510,202-224-2823
Blunt,Roy,1950-01-10,M,sen,MO,,Republican,https://www.blunt.senate.gov/public,260 Russell Senate Office Building Washington DC 20510,202-224-5721
Boozman,John,1950-12-10,M,sen,AR,,Republican,https://www.boozman.senate.gov/public,141 Hart Senate Office Building Washington DC 20510,202-224-4843
Bordallo,Madeleine,1933-05-31,F,rep,GU,0,Democrat,https://bordallo.house.gov,2441 Rayburn House Office Building; Washington DC 20515-5301,202-225-1188
Brady,Kevin,1955-04-11,M,rep,TX,8,Republican,https://kevinbrady.house.gov,1011 Longworth House Office Building; Washington DC 20515-4308,202-225-4901
Brady,Robert,1945-04-07,M,rep,PA,1,Democrat,https://brady.house.gov,2004 Rayburn House Office Building; Washington DC 20515-3801,202-225-4731
Brooks,Mo,1954-04-29,M,rep,AL,5,Republican,https://brooks.house.gov,2400 Rayburn House Office Building; Washington DC 20515-0105,202-225-4801
Buchanan,Vern,1951-05-08,M,rep,FL,16,Republican,https://buchanan.house.gov,2104 Rayburn House Office Building; Washington DC 20515-0916,202-225-5015
Bucshon,Larry,1962-05-31,M,rep,IN,8,Republican,https://bucshon.house.gov,1005 Longworth House Office Building; Washington DC 20515-1408,202-225-4636
Burgess,Michael,1950-12-23,M,rep,TX,26,Republican,https://burgess.house.gov,2336 Rayburn House Office Building; Washington DC 20515-4326,202-225-7772
Burr,Richard,1955-11-30,M,sen,NC,,Republican,https://www.burr.senate.gov,217 Russell Senate Office Building Washington DC 20510,202-224-3154
Butterfield,George,1947-04-27,M,rep,NC,1,Democrat,https://butterfield.house.gov,2080 Rayburn House Office Building; Washington DC 20515-3301,202-225-3101
Calvert,Ken,1953-06-08,M,rep,CA,42,Republican,https://calvert.house.gov,2205 Rayburn House Office Building; Washington DC 20515-0542,202-225-1986
Capito,Shelley,1953-11-26,F,sen,WV,,Republican,https://www.capito.senate.gov,172 Russell Senate Office Building Washington DC 20510,202-224-6472
Capuano,Michael,1952-01-09,M,rep,MA,7,Democrat,http://capuano.house.gov,1414 Longworth House Office Building; Washington DC 20515-2107,202-225-5111
Carson,André,1974-10-16,M,rep,IN,7,Democrat,https://carson.house.gov,2135 Rayburn House Office Building; Washington DC 20515-1407,202-225-4011
Carter,John,1941-11-06,M,rep,TX,31,Republican,https://carter.house.gov,2110 Rayburn House Office Building; Washington DC 20515-4331,202-225-3864
Cassidy,Bill,1957-09-28,M,sen,LA,,Republican,https://www.cassidy.senate.gov,520 Hart Senate Office Building Washington DC 20510,202-224-5824
Castor,Kathy,1966-08-20,F,rep,FL,14,Democrat,https://castor.house.gov,2052 Rayburn House Office Building; Washington DC 20515-0914,202-225-3376
Chabot,Steve,1953-01-22,M,rep,OH,1,Republican,https://chabot.house.gov,2371 Rayburn House Office Building; Washington DC 20515-3501,202-225-2216
Chu,Judy,1953-07-07,F,rep,CA,27,Democrat,https://chu.house.gov,2423 Rayburn House Office Building; Washington DC 20515-0527,202-225-5464
Cicilline,David,1961-07-15,M,rep,RI,1,Democrat,https://cicilline.house.gov,2244 Rayburn House Office Building; Washington DC 20515-3901,202-225-4911
Clarke,Yvette,1964-11-21,F,rep,NY,9,Democrat,https://clarke.house.gov,2058 Rayburn House Office Building; Washington DC 20515-3209,202-225-6231
Clay,Wm.,1956-07-27,M,rep,MO,1,Democrat,https://lacyclay.house.gov,2428 Rayburn House Office Building; Washington DC 20515-2501,202-225-2406
Cleaver,Emanuel,1944-10-26,M,rep,MO,5,Democrat,https://cleaver.house.gov,2335 Rayburn House Office Building; Washington DC 20515-2505,202-225-4535
Clyburn,James,1940-07-21,M,rep,SC,6,Democrat,https://clyburn.house.gov,242 Cannon House Office Building; Washington DC 20515-4006,202-225-3315
Coffman,Mike,1955-03-19,M,rep,CO,6,Republican,https://coffman.house.gov,2443 Rayburn House Office Building; Washington DC 20515-0606,202-225-7882
Cohen,Steve,1949-05-24,M,rep,TN,9,Democrat,https://cohen.house.gov,2404 Rayburn House Office Building; Washington DC 20515-4209,202-225-3265
Cole,Tom,1949-04-28,M,rep,OK,4,Republican,https://cole.house.gov,2467 Rayburn House Office Building; Washington DC 20515-3604,202-225-6165
Conaway,K.,1948-06-11,M,rep,TX,11,Republican,https://conaway.house.gov,2430 Rayburn House Office Building; Washington DC 20515-4311,202-225-3605
Connolly,Gerald,1950-03-30,M,rep,VA,11,Democrat,https://connolly.house.gov,2238 Rayburn House Office Building; Washington DC 20515-4611,202-225-1492
Cooper,Jim,1954-06-19,M,rep,TN,5,Democrat,https://cooper.house.gov,1536 Longworth House Office Building; Washington DC 20515-4205,202-225-4311
Costa,Jim,1952-04-13,M,rep,CA,16,Democrat,https://costa.house.gov,2081 Rayburn House Office Building; Washington DC 20515-0516,202-225-3341
Courtney,Joe,1953-04-06,M,rep,CT,2,Democrat,https://courtney.house.gov,2348 Rayburn House Office Building; Washington DC 20515-0702,202-225-2076
Crapo,Michael,1951-05-20,M,sen,ID,,Republican,https://www.crapo.senate.gov,239 Dirksen Senate Office Building Washington DC 20510,202-224-6142
Crawford,Eric,1966-01-22,M,rep,AR,1,Republican,https://crawford.house.gov,2422 Rayburn House Office Building; Washington DC 20515-0401,202-225-4076
Crowley,Joseph,1962-03-16,M,rep,NY,14,Democrat,https://crowley.house.gov,1035 Longworth House Office Building; Washington DC 20515-3214,202-225-3965
Cuellar,Henry,1955-09-19,M,rep,TX,28,Democrat,https://cuellar.house.gov,2209 Rayburn House Office Building; Washington DC 20515-4328,202-225-1640
Culberson,John,1956-08-24,M,rep,TX,7,Republican,https://culberson.house.gov,2161 Rayburn House Office Building; Washington DC 20515-4307,202-225-2571
Cummings,Elijah,1951-01-18,M,rep,MD,7,Democrat,https://cummings.house.gov,2163 Rayburn House Office Building; Washington DC 20515-2007,202-225-4741
Davis,Danny,1941-09-06,M,rep,IL,7,Democrat,https://davis.house.gov,2159 Rayburn House Office Building; Washington DC 20515-1307,202-225-5006
Davis,Susan,1944-04-13,F,rep,CA,53,Democrat,https://susandavis.house.gov,1214 Longworth House Office Building; Washington DC 20515-0553,202-225-2040
DeFazio,Peter,1947-05-27,M,rep,OR,4,Democrat,https://defazio.house.gov,2134 Rayburn House Office Building; Washington DC 20515-3704,202-225-6416
DeGette,Diana,1957-07-29,F,rep,CO,1,Democrat,https://degette.house.gov,2111 Rayburn House Office Building; Washington DC 20515-0601,202-225-4431
DeLauro,Rosa,1943-03-02,F,rep,CT,3,Democrat,https://delauro.house.gov,2413 Rayburn House Office Building; Washington DC 20515-0703,202-225-3661
Denham,Jeff,1967-07-29,M,rep,CA,10,Republican,https://denham.house.gov,1730 Longworth House Office Building; Washington DC 20515-0510,202-225-4540
DesJarlais,Scott,1964-02-21,M,rep,TN,4,Republican,https://desjarlais.house.gov,2301 Rayburn House Office Building; Washington DC 20515-4204,202-225-6831
Deutch,Theodore,1966-05-07,M,rep,FL,22,Democrat,https://teddeutch.house.gov,2447 Rayburn House Office Building; Washington DC 20515-0922,202-225-3001
Diaz-Balart,Mario,1961-09-25,M,rep,FL,25,Republican,https://mariodiazbalart.house.gov,440 Cannon House Office Building; Washington DC 20515-0925,202-225-4211
Doggett,Lloyd,1946-10-06,M,rep,TX,35,Democrat,https://doggett.house.gov,2307 Rayburn House Office Building; Washington DC 20515-4335,202-225-4865
Donnelly,Joe,1955-09-28,M,sen,IN,,Democrat,https://www.donnelly.senate.gov,720 Hart Senate Office Building Washington DC 20510,202-224-4814
Doyle,Michael,1953-08-05,M,rep,PA,14,Democrat,https://doyle.house.gov,239 Cannon House Office Building; Washington DC 20515-3814,202-225-2135
Duffy,Sean,1971-10-03,M,rep,WI,7,Republican,https://duffy.house.gov,2330 Rayburn House Office Building; Washington DC 20515-4907,202-225-3365
Duncan,Jeff,1966-01-07,M,rep,SC,3,Republican,https://jeffduncan.house.gov,2229 Rayburn House Office Building; Washington DC 20515-4003,202-225-5301
Duncan,John,1947-07-21,M,rep,TN,2,Republican,https://duncan.house.gov,2207 Rayburn House Office Building; Washington DC 20515-4202,202-225-5435
Ellison,Keith,1963-08-04,M,rep,MN,5,Democrat,https://ellison.house.gov,2263 Rayburn House Office Building; Washington DC 20515-2305,202-225-4755
Engel,Eliot,1947-02-18,M,rep,NY,16,Democrat,https://engel.house.gov,2462 Rayburn House Office Building; Washington DC 20515-3216,202-225-2464
Eshoo,Anna,1942-12-13,F,rep,CA,18,Democrat,http://eshoo.house.gov,241 Cannon House Office Building; Washington DC 20515-0518,202-225-8104
Flake,Jeff,1962-12-31,M,sen,AZ,,Republican,https://www.flake.senate.gov/public,413 Russell Senate Office Building Washington DC 20510,202-224-4521
Fleischmann,Charles,1962-10-11,M,rep,TN,3,Republican,https://fleischmann.house.gov,2410 Rayburn House Office Building; Washington DC 20515-4203,202-225-3271
Flores,Bill,1954-02-25,M,rep,TX,17,Republican,https://flores.house.gov,2440 Rayburn House Office Building; Washington DC 20515-4317,202-225-6105
Fortenberry,Jeff,1960-12-27,M,rep,NE,1,Republican,https://fortenberry.house.gov,1514 Longworth House Office Building; Washington DC 20515-2701,202-225-4806
Foxx,Virginia,1943-06-29,F,rep,NC,5,Republican,https://foxx.house.gov,2262 Rayburn House Office Building; Washington DC 20515-3305,202-225-2071
Frelinghuysen,Rodney,1946-04-29,M,rep,NJ,11,Republican,https://frelinghuysen.house.gov,2306 Rayburn House Office Building; Washington DC 20515-3011,202-225-5034
Fudge,Marcia,1952-10-29,F,rep,OH,11,Democrat,https://fudge.house.gov,2344 Rayburn House Office Building; Washington DC 20515-3511,202-225-7032
Garamendi,John,1945-01-24,M,rep,CA,3,Democrat,https://garamendi.house.gov,2438 Rayburn House Office Building; Washington DC 20515-0503,202-225-1880
Gardner,Cory,1974-08-22,M,sen,CO,,Republican,https://www.gardner.senate.gov,354 Russell Senate Office Building Washington DC 20510,202-224-5941
Gibbs,Bob,1954-06-14,M,rep,OH,7,Republican,https://gibbs.house.gov,2446 Rayburn House Office Building; Washington DC 20515-3507,202-225-6265
Gohmert,Louie,1953-08-18,M,rep,TX,1,Republican,https://gohmert.house.gov,2243 Rayburn House Office Building; Washington DC 20515-4301,202-225-3035
Goodlatte,Bob,1952-09-22,M,rep,VA,6,Republican,https://goodlatte.house.gov,2309 Rayburn House Office Building; Washington DC 20515-4606,202-225-5431
Gosar,Paul,1958-11-22,M,rep,AZ,4,Republican,https://gosar.house.gov,2057 Rayburn House Office Building; Washington DC 20515-0304,202-225-2315
Gowdy,Trey,1964-08-22,M,rep,SC,4,Republican,https://gowdy.house.gov,2418 Rayburn House Office Building; Washington DC 20515-4004,202-225-6030
Granger,Kay,1943-01-18,F,rep,TX,12,Republican,https://kaygranger.house.gov,1026 Longworth House Office Building; Washington DC 20515-4312,202-225-5071
Grassley,Charles,1933-09-17,M,sen,IA,,Republican,https://www.grassley.senate.gov,135 Hart Senate Office Building Washington DC 20510,202-224-3744
Graves,Sam,1963-11-07,M,rep,MO,6,Republican,https://graves.house.gov,1135 Longworth House Office Building; Washington DC 20515-2506,202-225-7041
Graves,Tom,1970-02-03,M,rep,GA,14,Republican,https://tomgraves.house.gov,2078 Rayburn House Office Building; Washington DC 20515-1014,202-225-5211
Green,Al,1947-09-01,M,rep,TX,9,Democrat,https://algreen.house.gov,2347 Rayburn House Office Building; Washington DC 20515-4309,202-225-7508
Green,Gene,1947-10-17,M,rep,TX,29,Democrat,https://green.house.gov,2470 Rayburn House Office Building; Washington DC 20515-4329,202-225-1688
Griffith,H.,1958-03-15,M,rep,VA,9,Republican,https://morgangriffith.house.gov,2202 Rayburn House Office Building; Washington DC 20515-4609,202-225-3861
Grijalva,Raúl,1948-02-19,M,rep,AZ,3,Democrat,https://grijalva.house.gov,1511 Longworth House Office Building; Washington DC 20515-0303,202-225-2435
Guthrie,Brett,1964-02-18,M,rep,KY,2,Republican,https://guthrie.house.gov,2434 Rayburn House Office Building; Washington DC 20515-1702,202-225-3501
Gutiérrez,Luis,1953-12-10,M,rep,IL,4,Democrat,https://gutierrez.house.gov,2408 Rayburn House Office Building; Washington DC 20515-1304,202-225-8203
Harper,Gregg,1956-06-01,M,rep,MS,3,Republican,https://harper.house.gov,2227 Rayburn House Office Building; Washington DC 20515-2403,202-225-5031
Harris,Andy,1957-01-25,M,rep,MD,1,Republican,https://harris.house.gov,1533 Longworth House Office Building; Washington DC 20515-2001,202-225-5311
Hartzler,Vicky,1960-10-13,F,rep,MO,4,Republican,https://hartzler.house.gov,2235 Rayburn House Office Building; Washington DC 20515-2504,202-225-2876
Hastings,Alcee,1936-09-05,M,rep,FL,20,Democrat,https://alceehastings.house.gov,2353 Rayburn House Office Building; Washington DC 20515-0920,202-225-1313
Heinrich,Martin,1971-10-17,M,sen,NM,,Democrat,https://www.heinrich.senate.gov,303 Hart Senate Office Building Washington DC 20510,202-224-5521
Hensarling,Jeb,1957-05-29,M,rep,TX,5,Republican,https://hensarling.house.gov,2228 Rayburn House Office Building; Washington DC 20515-4305,202-225-3484
Herrera Beutler,Jaime,1978-11-03,F,rep,WA,3,Republican,https://herrerabeutler.house.gov,1107 Longworth House Office Building; Washington DC 20515-4703,202-225-3536
Higgins,Brian,1959-10-06,M,rep,NY,26,Democrat,https://higgins.house.gov,2459 Rayburn House Office Building; Washington DC 20515-3226,202-225-3306
Himes,James,1966-07-05,M,rep,CT,4,Democrat,https://himes.house.gov,1227 Longworth House Office Building; Washington DC 20515-0704,202-225-5541
Hirono,Mazie,1947-11-03,F,sen,HI,,Democrat,https://www.hirono.senate.gov,730 Hart Senate Office Building Washington DC 20510,202-224-6361
Hoeven,John,1957-03-13,M,sen,ND,,Republican,https://www.hoeven.senate.gov,338 Russell Senate Office Building Washington DC 20510,202-224-2551
Hoyer,Steny,1939-06-14,M,rep,MD,5,Democrat,https://hoyer.house.gov,1705 Longworth House Office Building; Washington DC 20515-2005,202-225-4131
Huizenga,Bill,1969-01-31,M,rep,MI,2,Republican,https://huizenga.house.gov,2232 Rayburn House Office Building; Washington DC 20515-2202,202-225-4401
Hultgren,Randy,1966-03-01,M,rep,IL,14,Republican,https://hultgren.house.gov,2455 Rayburn House Office Building; Washington DC 20515-1314,202-225-2976
Hunter,Duncan,1976-12-07,M,rep,CA,50,Republican,https://hunter.house.gov,2429 Rayburn House Office Building; Washington DC 20515-0550,202-225-5672
Isakson,John,1944-12-28,M,sen,GA,,Republican,https://www.isakson.senate.gov,131 Russell Senate Office Building Washington DC 20510,202-224-3643
Issa,Darrell,1953-11-01,M,rep,CA,49,Republican,https://issa.house.gov,2269 Rayburn House Office Building; Washington DC 20515-0549,202-225-3906
Jackson Lee,Sheila,1950-01-12,F,rep,TX,18,Democrat,https://jacksonlee.house.gov,2187 Rayburn House Office Building; Washington DC 20515-4318,202-225-3816
Jenkins,Lynn,1963-06-10,F,rep,KS,2,Republican,https://lynnjenkins.house.gov,1526 Longworth House Office Building; Washington DC 20515-1602,202-225-6601
Johnson,Bill,1954-11-10,M,rep,OH,6,Republican,https://billjohnson.house.gov,1710 Longworth House Office Building; Washington DC 20515-3506,202-225-5705
Johnson,Eddie,1935-12-03,F,rep,TX,30,Democrat,https://ebjohnson.house.gov,2468 Rayburn House Office Building; Washington DC 20515-4330,202-225-8885
Johnson,Henry,1954-10-02,M,rep,GA,4,Democrat,https://hankjohnson.house.gov,2240 Rayburn House Office Building; Washington DC 20515-1004,202-225-1605
Johnson,Ron,1955-04-08,M,sen,WI,,Republican,https://www.ronjohnson.senate.gov,328 Hart Senate Office Building Washington DC 20510,202-224-5323
Johnson,Sam,1930-10-11,M,rep,TX,3,Republican,https://samjohnson.house.gov,2304 Rayburn House Office Building; Washington DC 20515-4303,202-225-4201
Jones,Walter,1943-02-10,M,rep,NC,3,Republican,https://jones.house.gov,2333 Rayburn House Office Building; Washington DC 20515-3303,202-225-3415
Jordan,Jim,1964-02-17,M,rep,OH,4,Republican,https://jordan.house.gov,2056 Rayburn House Office Building; Washington DC 20515-3504,202-225-2676
Kaptur,Marcy,1946-06-17,F,rep,OH,9,Democrat,https://kaptur.house.gov,2186 Rayburn House Office Building; Washington DC 20515-3509,202-225-4146
Keating,William,1952-09-06,M,rep,MA,9,Democrat,https://keating.house.gov,2351 Rayburn House Office Building; Washington DC 20515-2109,202-225-3111
Kelly,Mike,1948-05-10,M,rep,PA,3,Republican,https://kelly.house.gov,1707 Longworth House Office Building; Washington DC 20515-3803,202-225-5406
Kind,Ron,1963-03-16,M,rep,WI,3,Democrat,https://kind.house.gov,1502 Longworth House Office Building; Washington DC 20515-4903,202-225-5506
King,Peter,1944-04-05,M,rep,NY,2,Republican,https://peteking.house.gov,339 Cannon House Office Building; Washington DC 20515-3202,202-225-7896
King,Steve,1949-05-28,M,rep,IA,4,Republican,https://steveking.house.gov,2210 Rayburn House Office Building; Washington DC 20515-1504,202-225-4426
Kinzinger,Adam,1978-02-27,M,rep,IL,16,Republican,https://kinzinger.house.gov,2245 Rayburn House Office Building; Washington DC 20515-1316,202-225-3635
Labrador,Raúl,1967-12-08,M,rep,ID,1,Republican,https://labrador.house.gov,1523 Longworth House Office Building; Washington DC 20515-1201,202-225-6611
Lamborn,Doug,1954-05-24,M,rep,CO,5,Republican,https://lamborn.house.gov,2402 Rayburn House Office Building; Washington DC 20515-0605,202-225-4422
Lance,Leonard,1952-06-25,M,rep,NJ,7,Republican,https://lance.house.gov,2352 Rayburn House Office Building; Washington DC 20515-3007,202-225-5361
Langevin,James,1964-04-22,M,rep,RI,2,Democrat,https://langevin.house.gov,2077 Rayburn House Office Building; Washington DC 20515-3902,202-225-2735
Lankford,James,1968-03-04,M,sen,OK,,Republican,https://www.lankford.senate.gov,316 Hart Senate Office Building Washington DC 20510,202-224-5754
Larsen,Rick,1965-06-15,M,rep,WA,2,Democrat,https://larsen.house.gov,2113 Rayburn House Office Building; Washington DC 20515-4702,202-225-2605
Larson,John,1948-07-22,M,rep,CT,1,Democrat,https://larson.house.gov,1501 Longworth House Office Building; Washington DC 20515-0701,202-225-2265
Latta,Robert,1956-04-18,M,rep,OH,5,Republican,https://latta.house.gov,2448 Rayburn House Office Building; Washington DC 20515-3505,202-225-6405
Leahy,Patrick,1940-03-31,M,sen,VT,,Democrat,https://www.leahy.senate.gov,437 Russell Senate Office Building Washington DC 20510,202-224-4242
Lee,Barbara,1946-07-16,F,rep,CA,13,Democrat,https://lee.house.gov,2267 Rayburn House Office Building; Washington DC 20515-0513,202-225-2661
Lee,Mike,1971-06-04,M,sen,UT,,Republican,https://www.lee.senate.gov/public,361A Russell Senate Office Building Washington DC 20510,202-224-5444
Levin,Sander,1931-09-06,M,rep,MI,9,Democrat,https://levin.house.gov,1236 Longworth House Office Building; Washington DC 20515-2209,202-225-4961
Lewis,John,1940-02-21,M,rep,GA,5,Democrat,https://johnlewis.house.gov,343 Cannon House Office Building; Washington DC 20515-1005,202-225-3801
Lipinski,Daniel,1966-07-15,M,rep,IL,3,Democrat,https://lipinski.house.gov,2346 Rayburn House Office Building; Washington DC 20515-1303,202-225-5701
LoBiondo,Frank,1946-05-12,M,rep,NJ,2,Republican,https://lobiondo.house.gov,2427 Rayburn House Office Building; Washington DC 20515-3002,202-225-6572
Loebsack,David,1952-12-23,M,rep,IA,2,Democrat,https://loebsack.house.gov,1527 Longworth House Office Building; Washington DC 20515-1502,202-225-6576
Lofgren,Zoe,1947-12-21,F,rep,CA,19,Democrat,https://lofgren.house.gov,1401 Longworth House Office Building; Washington DC 20515-0519,202-225-3072
Long,Billy,1955-08-11,M,rep,MO,7,Republican,https://long.house.gov,2454 Rayburn House Office Building; Washington DC 20515-2507,202-225-6536
Lowey,Nita,1937-07-05,F,rep,NY,17,Democrat,https://lowey.house.gov,2365 Rayburn House Office Building; Washington DC 20515-3217,202-225-6506
Lucas,Frank,1960-01-06,M,rep,OK,3,Republican,https://lucas.house.gov,2405 Rayburn House Office Building; Washington DC 20515-3603,202-225-5565
Luetkemeyer,Blaine,1952-05-07,M,rep,MO,3,Republican,https://luetkemeyer.house.gov,2230 Rayburn House Office Building; Washington DC 20515-2503,202-225-2956
Luján,Ben,1972-06-07,M,rep,NM,3,Democrat,https://lujan.house.gov,2231 Rayburn House Office Building; Washington DC 20515-3103,202-225-6190
Lynch,Stephen,1955-03-31,M,rep,MA,8,Democrat,https://lynch.house.gov,2268 Rayburn House Office Building; Washington DC 20515-2108,202-225-8273
